"","Type","Var2","EEZ_wild"
"1","ARE","oil",122
"2","ARG","oil",0
"3","AUS","oil",84
"4","BHR","oil",0
"5","CAN","oil",0
"6","CHL","oil",832
"7","CUB","oil",0
"8","ERI","oil",0
"9","FLK","oil",0
"10","IDN","oil",84
"11","OMN","oil",0
"12","PNG","oil",0
"13","RUS","oil",15
"14","SAU","oil",9
"15","SGS","oil",0
"16","SOM","oil",0
"17","SUR","oil",0
"18","UKR","oil",61
"19","USA","oil",419
"20","VEN","oil",0
"21","ARE","possible_oil",0
"22","ARG","possible_oil",0
"23","AUS","possible_oil",148
"24","BHR","possible_oil",60
"25","CAN","possible_oil",114
"26","CHL","possible_oil",0
"27","CUB","possible_oil",44
"28","ERI","possible_oil",196
"29","FLK","possible_oil",88
"30","IDN","possible_oil",53
"31","OMN","possible_oil",4
"32","PNG","possible_oil",7
"33","RUS","possible_oil",138
"34","SAU","possible_oil",45
"35","SGS","possible_oil",22
"36","SOM","possible_oil",0
"37","SUR","possible_oil",5
"38","UKR","possible_oil",0
"39","USA","possible_oil",119
"40","VEN","possible_oil",0
"41","ARE","possible_wind",0
"42","ARG","possible_wind",0
"43","AUS","possible_wind",0
"44","BHR","possible_wind",0
"45","CAN","possible_wind",2
"46","CHL","possible_wind",0
"47","CUB","possible_wind",0
"48","ERI","possible_wind",0
"49","FLK","possible_wind",0
"50","IDN","possible_wind",0
"51","OMN","possible_wind",0
"52","PNG","possible_wind",0
"53","RUS","possible_wind",0
"54","SAU","possible_wind",0
"55","SGS","possible_wind",0
"56","SOM","possible_wind",0
"57","SUR","possible_wind",0
"58","UKR","possible_wind",0
"59","USA","possible_wind",0
"60","VEN","possible_wind",0
"61","ARE","probable_oil",0
"62","ARG","probable_oil",0
"63","AUS","probable_oil",0
"64","BHR","probable_oil",0
"65","CAN","probable_oil",2
"66","CHL","probable_oil",21
"67","CUB","probable_oil",0
"68","ERI","probable_oil",0
"69","FLK","probable_oil",0
"70","IDN","probable_oil",2
"71","OMN","probable_oil",0
"72","PNG","probable_oil",0
"73","RUS","probable_oil",8
"74","SAU","probable_oil",0
"75","SGS","probable_oil",0
"76","SOM","probable_oil",0
"77","SUR","probable_oil",0
"78","UKR","probable_oil",35
"79","USA","probable_oil",0
"80","VEN","probable_oil",0
"81","ARE","unknown",0
"82","ARG","unknown",60
"83","AUS","unknown",64
"84","BHR","unknown",0
"85","CAN","unknown",59
"86","CHL","unknown",2
"87","CUB","unknown",0
"88","ERI","unknown",0
"89","FLK","unknown",0
"90","IDN","unknown",383
"91","OMN","unknown",0
"92","PNG","unknown",66
"93","RUS","unknown",106
"94","SAU","unknown",0
"95","SGS","unknown",0
"96","SOM","unknown",61
"97","SUR","unknown",3
"98","UKR","unknown",0
"99","USA","unknown",8
"100","VEN","unknown",135
"101","ARE","wind",0
"102","ARG","wind",0
"103","AUS","wind",0
"104","BHR","wind",0
"105","CAN","wind",2
"106","CHL","wind",0
"107","CUB","wind",0
"108","ERI","wind",0
"109","FLK","wind",0
"110","IDN","wind",0
"111","OMN","wind",0
"112","PNG","wind",0
"113","RUS","wind",8
"114","SAU","wind",0
"115","SGS","wind",0
"116","SOM","wind",0
"117","SUR","wind",0
"118","UKR","wind",0
"119","USA","wind",0
"120","VEN","wind",0
